ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Decimal digits,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
1661,reset,B,0,1,BOOL,,0,rw,,0,,,,,,,0,0,,,0,,,,
1662,maintenance_mode,B,1,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1663,mode_preheat,B,2,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1664,target_menit,W,0,1,SHORT,,0,rw,,,,,,0,,,0,0,,,0,,,,
1665,adjust_menit,W,1,1,SHORT,,0,rw,,,,,,,,,0,0,,,0,,,,
1666,sisa_detik_masak,W,2,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1667,total_detik_pemanasan,W,3,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1668,flag_init_start,W,5,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1669,flag_init_masak,W,6,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1670,status_kosong,B,3,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1671,status_pemanasan,B,4,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1672,status_pemasakan,B,5,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1673,status_selesai,B,6,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
1674,status_banner,W,7,25,STRING,DEFAULT,50,rw,,,,,,,,,0,0,,,0,,,,
1675,suhu_awal,W,32,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1676,suhu_akhir,W,33,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1677,perubahan_waktu,W,34,1,SHORT,,0,rw,,,,,,,,,0,1,,,0,,,,
1678,tampil_jam_mulai,W,35,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1679,tampil_jam_masak,W,40,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1680,tampil_jam_selesai,W,45,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1681,tampil_pemanasan,W,50,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
1682,tampil_durasi_aktual,W,55,5,STRING,DEFAULT,10,rw,,,,,,,,,0,0,,,0,,,,
2316,sensor_error,B,7,1,BOOL,,0,rw,,,,,,0,,,0,0,,,0,,,,
2356,status_resep,B,8,1,BOOL,,0,rw,,,,,,,,,0,0,,,0,,,,
2440,durasi_aktual_up,W,60,5,STRING,DEFAULT,10,rw,,,,,,0,,,0,0,,,0,,,,
